year,month,val
1850,1,0.0044
1850,2,0.0042
1850,3,0.004
1850,4,0.0039
1850,5,0.0037
1850,6,0.0036
1850,7,0.0034
1850,8,0.0034
1850,9,0.0033
1850,10,0.0032
1850,11,0.0031
1850,12,0.003
1851,1,0.003
1851,2,0.0029
1851,3,0.0028
1851,4,0.0027
1851,5,0.0026
1851,6,0.0026
1851,7,0.0025
1851,8,0.0024
1851,9,0.0023
1851,10,0.0022
1851,11,0.0021
1851,12,0.002
1852,1,0.0019
1852,2,0.0018
1852,3,0.0018
1852,4,0.0017
1852,5,0.0016
1852,6,0.0015
1852,7,0.0014
1852,8,0.0013
1852,9,0.0012
1852,10,0.0011
1852,11,0.001
1852,12,0.001
1853,1,0.0009
1853,2,0.0008
1853,3,0.0008
1853,4,0.0007
1853,5,0.0007
1853,6,0.0006
1853,7,0.0006
1853,8,0.0005
1853,9,0.0005
1853,10,0.0005
1853,11,0.0004
1853,12,0.0004
1854,1,0.0004
1854,2,0.0004
1854,3,0.0003
1854,4,0.0003
1854,5,0.0003
1854,6,0.0003
1854,7,0.0003
1854,8,0.0003
1854,9,0.0002
1854,10,0.0002
1854,11,0.0002
1854,12,0.0002
1855,1,0.0002
1855,2,0.0002
1855,3,0.0002
1855,4,0.0002
1855,5,0.0002
1855,6,0.0002
1855,7,0.0002
1855,8,0.0002
1855,9,0.0002
1855,10,0.0029
1855,11,0.0075
1855,12,0.0122
1856,1,0.0168
1856,2,0.0214
1856,3,0.026
1856,4,0.0306
1856,5,0.0352
1856,6,0.0399
1856,7,0.0433
1856,8,0.0456
1856,9,0.0479
1856,10,0.0501
1856,11,0.0524
1856,12,0.0547
1857,1,0.057
1857,2,0.0593
1857,3,0.0615
1857,4,0.0638
1857,5,0.0661
1857,6,0.0684
1857,7,0.0675
1857,8,0.0636
1857,9,0.0596
1857,10,0.0557
1857,11,0.0517
1857,12,0.0478
1858,1,0.044
1858,2,0.0405
1858,3,0.0372
1858,4,0.0343
1858,5,0.0315
1858,6,0.029
1858,7,0.0267
1858,8,0.0246
1858,9,0.0226
1858,10,0.0208
1858,11,0.0192
1858,12,0.0176
1859,1,0.0162
1859,2,0.015
1859,3,0.0139
1859,4,0.013
1859,5,0.012
1859,6,0.011
1859,7,0.0103
1859,8,0.0097
1859,9,0.0091
1859,10,0.0086
1859,11,0.008
1859,12,0.0074
1860,1,0.0069
1860,2,0.0064
1860,3,0.0059
1860,4,0.0054
1860,5,0.005
1860,6,0.0046
1860,7,0.0042
1860,8,0.0039
1860,9,0.0036
1860,10,0.0033
1860,11,0.0031
1860,12,0.0028
1861,1,0.0026
1861,2,0.0024
1861,3,0.0022
1861,4,0.002
1861,5,0.0019
1861,6,0.0017
1861,7,0.0016
1861,8,0.0027
1861,9,0.004
1861,10,0.0053
1861,11,0.0066
1861,12,0.0079
1862,1,0.0092
1862,2,0.0105
1862,3,0.0118
1862,4,0.0132
1862,5,0.0145
1862,6,0.0158
1862,7,0.0162
1862,8,0.0156
1862,9,0.0151
1862,10,0.0145
1862,11,0.014
1862,12,0.0135
1863,1,0.0129
1863,2,0.0124
1863,3,0.0118
1863,4,0.0113
1863,5,0.0107
1863,6,0.0102
1863,7,0.0097
1863,8,0.0092
1863,9,0.0087
1863,10,0.0082
1863,11,0.0078
1863,12,0.0073
1864,1,0.0068
1864,2,0.0063
1864,3,0.0058
1864,4,0.0054
1864,5,0.005
1864,6,0.0046
1864,7,0.0042
1864,8,0.0039
1864,9,0.0037
1864,10,0.0035
1864,11,0.0033
1864,12,0.0031
1865,1,0.0029
1865,2,0.0027
1865,3,0.0025
1865,4,0.0023
1865,5,0.0022
1865,6,0.002
1865,7,0.0019
1865,8,0.0017
1865,9,0.0016
1865,10,0.0015
1865,11,0.0014
1865,12,0.0013
1866,1,0.0012
1866,2,0.0011
1866,3,0.001
1866,4,0.001
1866,5,0.0009
1866,6,0.0008
1866,7,0.0008
1866,8,0.0007
1866,9,0.0007
1866,10,0.0006
1866,11,0.0006
1866,12,0.0005
1867,1,0.0005
1867,2,0.0005
1867,3,0.0004
1867,4,0.0004
1867,5,0.0004
1867,6,0.0004
1867,7,0.0003
1867,8,0.0003
1867,9,0.0003
1867,10,0.0003
1867,11,0.0003
1867,12,0.0003
1868,1,0.0002
1868,2,0.0002
1868,3,0.0002
1868,4,0.0002
1868,5,0.0002
1868,6,0.0002
1868,7,0.0002
1868,8,0.0002
1868,9,0.0002
1868,10,0.0002
1868,11,0.0002
1868,12,0.0003
