Station: Global Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-.84,-.41,-.48,-.67,-.37,-.50,-.49,.06,-.51,-.69,-.53,-.55,-.50,***,***,-.51,-.31,-.58
1881,-.80,-.63,-.37,-.28,-.05,-1.15,-.56,-.28,-.34,-.47,-.54,-.13,-.47,-.50,-.66,-.23,-.66,-.45
1882,.09,-.14,-.10,-.62,-.40,-1.05,-.74,-.14,-.10,-.35,-.42,-.70,-.39,-.34,-.06,-.37,-.64,-.29
1883,-.71,-.97,-.48,-.34,-.38,.41,-.05,-.20,-.49,-.60,-.71,-.43,-.41,-.43,-.79,-.40,.05,-.60
1884,-.64,-.37,-.42,-.96,-1.22,-.86,-.88,.11,-.41,-.81,-.85,-1.03,-.70,-.65,-.48,-.87,-.54,-.69
1885,-.97,-.83,-.95,-.91,-.54,-.98,-.66,-.21,-.20,-.08,-.43,-.03,-.57,-.65,-.94,-.80,-.62,-.24
1886,-.80,-.87,-.72,-.67,-.61,-.89,-.44,-.78,-.47,-.91,-.54,-.79,-.71,-.64,-.57,-.66,-.70,-.64
1887,-.92,-1.32,-.64,-.89,-.92,-.72,-.46,-.31,-.67,-.61,-.97,-.71,-.76,-.77,-1.01,-.81,-.50,-.75
1888,-.78,-.86,-.95,-.36,-.81,-.61,-.40,-.39,-.46,-.32,-.10,-.29,-.53,-.56,-.78,-.70,-.47,-.29
1889,-.36,.10,.02,.06,.02,-.32,-.49,-.65,-.42,-.27,-.49,-.47,-.27,-.26,-.18,.03,-.48,-.39
1890,-.64,-.66,-.65,-.56,-.95,-.61,-.63,-.65,-.38,-.30,-.79,-.55,-.62,-.61,-.59,-.72,-.63,-.49
1891,-1.00,-1.11,-.55,-.71,-.52,-.61,-.78,-.62,-.55,-.62,-.61,-.03,-.64,-.69,-.89,-.60,-.67,-.59
1892,-.67,-.34,-.61,-.74,-.72,-.63,-.44,-.32,-.52,-.39,-.66,-.64,-.56,-.50,-.35,-.69,-.46,-.52
1893,-1.48,-1.04,-.62,-.70,-.80,-.76,-.25,-.40,-.34,-.15,-.18,-.42,-.60,-.61,-1.05,-.71,-.47,-.22
1894,-.90,-.63,-.41,-.70,-.72,-.55,-.42,-.38,-.48,-.15,-.19,-.20,-.48,-.50,-.65,-.61,-.45,-.27
1895,-.73,-.81,-.52,-.50,-.33,-.33,-.58,-.24,-.19,-.14,-.19,-.10,-.39,-.40,-.58,-.45,-.38,-.17
1896,-.25,-.29,-.54,-.50,-.48,-.51,-.25,-.42,-.15,-.07,-.47,-.23,-.35,-.34,-.21,-.50,-.40,-.23
1897,-.29,-.52,-.34,-.14,-.29,-.21,-.15,-.35,-.18,-.26,-.02,-.25,-.25,-.25,-.35,-.26,-.24,-.15
1898,-.14,-.46,-.83,-.60,-.65,-.34,-.39,-.27,-.05,-.43,-.52,-.22,-.41,-.41,-.29,-.69,-.33,-.33
1899,-.44,-.61,-.37,-.28,-.43,-.57,-.34,-.32,-.05,-.31,-.04,-.22,-.33,-.33,-.42,-.36,-.41,-.13
1900,-.56,-.07,-.18,-.19,-.19,-.15,-.39,-.20,-.11,.11,-.16,-.09,-.18,-.19,-.28,-.19,-.25,-.05
1901,-.26,-.16,-.12,-.12,-.25,-.02,-.30,-.27,-.03,-.23,-.16,-.25,-.18,-.17,-.17,-.16,-.20,-.14
1902,-.35,-.09,-.21,-.26,-.37,-.39,-.48,-.56,-.45,-.50,-.53,-.60,-.40,-.37,-.23,-.28,-.48,-.50
1903,-.38,-.19,-.22,-.60,-.49,-.68,-.37,-.48,-.47,-.53,-.51,-.65,-.46,-.46,-.39,-.44,-.51,-.50
1904,-.83,-.80,-.58,-.48,-.66,-.52,-.65,-.54,-.48,-.56,-.30,-.44,-.57,-.59,-.76,-.58,-.57,-.44
1905,-.46,-1.02,-.28,-.36,-.39,-.35,-.47,-.31,-.26,-.42,-.12,-.28,-.39,-.41,-.64,-.34,-.38,-.27
1906,-.20,-.36,-.37,.01,-.25,-.29,-.28,-.21,-.35,-.22,-.56,-.28,-.28,-.28,-.28,-.20,-.26,-.38
1907,-.51,-.70,-.47,-.63,-.63,-.72,-.48,-.59,-.43,-.36,-.62,-.68,-.57,-.54,-.50,-.58,-.60,-.47
1908,-.40,-.35,-.54,-.49,-.36,-.47,-.43,-.42,-.20,-.44,-.62,-.44,-.43,-.45,-.48,-.46,-.44,-.42
1909,-.81,-.60,-.52,-.63,-.61,-.46,-.38,-.13,-.22,-.20,-.16,-.57,-.44,-.43,-.61,-.59,-.32,-.20
1910,-.48,-.40,-.49,-.33,-.29,-.38,-.26,-.17,-.13,-.34,-.56,-.68,-.38,-.37,-.48,-.37,-.27,-.34
1911,-.68,-.68,-.63,-.55,-.41,-.40,-.19,-.28,-.29,-.21,-.17,-.27,-.40,-.43,-.68,-.53,-.29,-.22
1912,-.21,-.13,-.45,-.31,-.21,-.28,-.52,-.65,-.38,-.50,-.45,-.37,-.37,-.36,-.20,-.32,-.49,-.44
1913,-.48,-.53,-.61,-.33,-.65,-.64,-.26,-.25,-.25,-.34,-.18,.01,-.37,-.41,-.46,-.53,-.39,-.25
1914,.11,-.08,-.08,-.23,-.05,-.12,-.25,-.11,-.11,.09,-.36,-.24,-.12,-.10,.01,-.12,-.16,-.13
